distance,event_type,orientation,length,width,depth,joint_number,comments,year
10755.92,cluster,156.5,1.8,2.89,20.0,3010.0,,2015
10756.35,metal loss,119.0,0.75,1.46,10.0,3010.0,,2015
11060.0,metal loss manufacturing,102.0,0.39,0.63,15.0,3090.0,,2015
11615.85,metal loss,299.5,0.51,1.42,10.0,3220.0,near girth weld,2015
12195.91,metal loss,316.0,2.21,1.61,10.0,3370.0,,2015
12427.16,metal loss manufacturing,237.0,2.17,1.73,16.0,3430.0,,2015
13155.91,metal loss,100.0,0.59,1.34,12.0,3630.0,,2015
13155.93,metal loss,213.5,1.61,3.7,24.0,3630.0,,2015
13156.18,metal loss,104.5,0.67,1.3,23.0,3630.0,,2015
13394.44,metal loss,182.5,0.63,1.22,10.0,3680.0,,2015
13394.44,metal loss,51.5,0.71,3.23,25.0,3680.0,,2015
13645.56,metal loss,110.0,0.71,1.46,11.0,3750.0,,2015
13645.75,metal loss,159.5,0.55,1.02,16.0,3750.0,,2015
13852.54,metal loss,48.0,0.39,0.59,10.0,3810.0,,2015
13853.79,metal loss,44.0,1.26,0.79,14.0,3810.0,,2015
13853.93,metal loss,318.0,0.47,0.94,14.0,3810.0,,2015
14002.02,metal loss,202.5,0.51,1.26,12.0,3850.0,,2015
14630.88,dent,193.5,27.54,8.38,,4040.0,,2015
14751.62,metal loss,290.5,0.71,1.18,29.0,4080.0,,2015
14751.84,metal loss,290.0,0.83,1.38,29.0,4080.0,,2015
14753.1,metal loss,77.5,0.67,1.1,19.0,4080.0,,2015
14753.35,cluster,78.5,1.64,1.17,16.0,4080.0,,2015
14753.65,metal loss,78.0,0.98,1.38,22.0,4080.0,,2015
14753.91,metal loss,69.5,0.47,0.94,12.0,4080.0,,2015
14754.98,metal loss,294.0,2.21,1.18,12.0,4080.0,,2015
14757.57,metal loss,284.5,0.94,2.01,11.0,4080.0,,2015
14909.43,metal loss,71.0,0.67,1.18,11.0,4140.0,,2015
14932.19,metal loss,39.0,0.55,1.3,27.0,4150.0,,2015
14934.69,metal loss,383.5,1.89,2.17,14.0,4150.0,,2015
14945.13,metal loss,32.0,0.59,1.26,36.0,4150.0,,2015
14945.33,metal loss,39.0,0.71,1.38,44.0,4150.0,,2015
14960.09,metal loss,202.5,1.89,0.59,19.0,4160.0,,2015
14960.67,metal loss,143.0,0.75,3.19,10.0,4160.0,near girth weld,2015
14960.83,metal loss,160.5,1.3,3.42,10.0,4160.0,affecting girth weld,2015
14960.87,metal loss,157.0,1.02,0.59,24.0,4160.01,affecting girth weld,2015
14961.27,metal loss,143.0,1.26,1.42,13.0,4160.01,,2015
14966.01,metal loss,178.5,2.4,1.38,11.0,4160.01,,2015
14966.13,metal loss,194.0,1.69,1.42,10.0,4160.01,,2015
14966.41,metal loss,170.0,0.71,0.83,19.0,4160.01,,2015
14966.55,metal loss,173.5,0.59,0.71,13.0,4160.01,,2015
14967.06,cluster,140.5,1.74,5.2,51.0,4160.01,,2015
14967.49,metal loss,150.5,1.69,1.5,19.0,4160.01,,2015
14967.51,metal loss,172.5,2.24,0.71,14.0,4160.01,,2015
14967.92,cluster,174.5,2.7,3.1,24.0,4160.01,near girth weld,2015
14968.06,metal loss,228.0,0.79,1.53,10.0,4160.01,near girth weld,2015
14968.31,metal loss,126.0,0.87,1.38,15.0,4160.02,affecting girth weld,2015
14968.48,metal loss,209.0,1.69,1.34,12.0,4160.02,,2015
14968.53,metal loss,225.0,1.34,1.42,19.0,4160.02,,2015
14968.58,metal loss,181.5,1.5,1.38,15.0,4160.02,,2015
14968.83,metal loss,126.5,1.61,1.65,10.0,4160.02,,2015
14969.41,metal loss,209.0,0.63,0.59,11.0,4160.02,,2015
14969.63,metal loss,162.5,0.87,1.22,11.0,4160.02,,2015
14969.81,cluster,125.5,1.93,8.36,26.0,4160.02,,2015
14970.01,metal loss,203.5,1.02,0.94,15.0,4160.02,,2015
14970.12,metal loss,121.5,1.46,2.99,11.0,4160.02,,2015
14970.17,metal loss,143.0,1.58,1.18,14.0,4160.02,,2015
14970.57,metal loss,145.5,1.3,2.87,10.0,4160.02,,2015
14970.58,metal loss,124.50000000000001,1.14,1.34,22.0,4160.02,,2015
14971.82,metal loss,116.0,1.02,1.06,13.0,4160.02,near girth weld,2015
14971.85,metal loss,79.0,1.14,2.09,13.0,4160.02,near girth weld,2015
14972.17,metal loss,171.5,0.99,3.03,40.0,4190.0,near girth weld Recoat,2015
14972.34,metal loss,108.5,0.79,0.59,14.0,4190.0,Recoat,2015
14972.35,metal loss,90.5,0.94,2.36,11.0,4190.0,Recoat,2015
14973.7,cluster,145.5,2.17,3.77,27.0,4190.0,Recoat,2015
14974.16,metal loss,89.0,0.67,1.38,21.0,4190.0,Recoat,2015
14974.26,metal loss,113.5,1.93,2.32,10.0,4190.0,Recoat,2015
14974.97,attachment,180.0,,,,4190.0,Repair Marker 2012 Dig #9 Recoat,2015
15015.82,metal loss,57.49999999999999,0.59,1.02,15.0,4200.0,,2015
15024.47,metal loss,159.5,0.87,0.59,11.0,4200.0,,2015
15024.48,metal loss,91.0,0.59,2.48,10.0,4200.0,,2015
15024.49,metal loss,238.0,0.75,1.81,10.0,4200.0,,2015
15026.16,metal loss,389.5,0.83,1.42,11.0,4210.0,,2015
15049.79,metal loss,262.5,0.67,1.38,13.0,4210.0,,2015
15052.42,metal loss,262.0,2.13,1.93,10.0,4210.0,,2015
15053.37,metal loss,264.5,0.79,1.02,17.0,4210.0,,2015
15053.89,metal loss,265.0,0.43,0.94,13.0,4210.0,,2015
15054.91,metal loss,265.5,0.83,1.26,12.0,4210.0,,2015
15054.95,metal loss,246.99999999999997,0.67,1.06,18.0,4210.0,,2015
15055.17,cluster,257.0,2.22,2.95,30.0,4210.0,,2015
15055.67,metal loss,242.50000000000003,1.58,1.77,23.0,4210.0,,2015
15055.7,metal loss,263.5,1.18,1.61,46.0,4210.0,,2015
15056.04,metal loss,266.0,1.85,1.1,13.0,4210.0,,2015
15056.15,cluster,242.0,2.09,3.21,21.0,4210.0,,2015
15059.49,metal loss,270.0,1.89,1.38,17.0,4210.0,,2015
15061.44,metal loss,297.0,0.83,1.22,15.0,4210.0,,2015
15069.47,metal loss,116.5,1.61,2.91,23.0,4220.0,,2015
15069.74,metal loss,116.5,0.75,1.61,10.0,4220.0,,2015
15073.61,metal loss,155.0,0.75,1.38,10.0,4220.0,,2015
15073.85,metal loss,156.0,0.75,1.5,19.0,4220.0,,2015
15074.02,metal loss,166.5,0.71,1.3,20.0,4220.0,,2015
15074.18,metal loss,170.0,0.59,0.94,26.0,4220.0,,2015
15076.11,metal loss,381.0,0.35,0.67,10.0,4220.0,,2015
15076.28,metal loss,368.5,0.75,2.01,20.0,4220.0,,2015
15086.08,metal loss,127.0,0.87,2.17,12.0,4220.0,,2015
15086.22,metal loss,93.5,0.67,1.02,22.0,4220.0,,2015
15086.47,metal loss,153.5,0.55,0.94,10.0,4220.0,,2015
15086.61,metal loss,153.0,0.67,0.79,10.0,4220.0,,2015
15092.78,metal loss,247.5,0.67,1.1,41.0,4220.0,,2015
15092.97,metal loss,238.5,0.83,0.63,11.0,4220.0,,2015
15092.99,metal loss,248.5,0.98,1.38,31.0,4220.0,,2015
15093.89,metal loss,189.5,1.38,1.89,10.0,4220.0,,2015
15093.97,metal loss,279.5,0.59,1.06,10.0,4220.0,,2015
15094.86,metal loss,34.0,0.67,1.61,19.0,4220.0,,2015
15094.95,metal loss,278.0,0.47,0.94,27.0,4220.0,,2015
15095.07,metal loss,274.5,1.02,1.89,49.0,4220.0,,2015
15095.29,cluster,281.0,1.38,1.78,43.0,4220.0,,2015
15095.63,metal loss,285.0,0.51,1.02,29.0,4220.0,,2015
15095.94,metal loss,185.0,1.93,2.05,14.0,4220.0,,2015
15096.31,metal loss,367.0,0.59,1.02,10.0,4220.0,,2015
15096.88,metal loss,272.5,0.75,1.36,40.0,4220.0,,2015
15097.09,metal loss,269.5,1.65,1.97,30.0,4220.0,,2015
15098.37,cluster,275.0,3.24,1.38,38.0,4220.0,,2015
15098.86,metal loss,268.5,0.55,0.94,13.0,4220.0,,2015
15104.59,cluster,94.0,0.83,8.9,17.0,4220.0,,2015
15106.27,metal loss,351.5,0.59,1.3,14.0,4230.0,,2015
15184.5,metal loss,70.5,1.02,2.01,11.0,4240.0,,2015
15184.5,metal loss,128.0,0.79,2.24,10.0,4240.0,,2015
15184.54,metal loss,154.0,0.71,2.05,24.0,4240.0,,2015
15186.2,metal loss,95.0,1.1,2.44,10.0,4250.0,,2015
15263.79,metal loss,232.5,0.98,5.08,14.0,4260.0,,2015
15275.43,metal loss,80.5,0.55,1.1,12.0,4270.0,near girth weld,2015
15275.43,metal loss,273.5,1.22,1.81,10.0,4270.0,affecting girth weld,2015
15275.44,metal loss,98.5,1.5,5.2,18.0,4270.0,affecting girth weld,2015
15275.45,metal loss,240.50000000000003,1.1,2.79,17.0,4270.0,affecting girth weld,2015
15295.63,metal loss,71.5,1.38,2.72,10.0,4300.0,,2015
15366.08,metal loss,86.5,1.02,4.05,12.0,4340.0,near girth weld,2015
15366.08,metal loss,122.49999999999999,0.91,7.36,15.0,4340.0,near girth weld,2015
15377.43,metal loss,302.0,0.87,2.44,11.0,4360.0,,2015
15377.59,metal loss,150.5,0.67,1.14,19.0,4360.0,,2015
15454.72,metal loss,292.5,0.35,0.67,21.0,4390.0,,2015
15505.12,metal loss,87.0,0.71,1.69,13.0,4410.0,,2015
15585.19,metal loss,146.5,1.06,1.34,21.0,4430.0,,2015
16038.87,metal loss,222.5,0.35,0.63,13.0,4540.0,,2015
16377.71,metal loss,142.0,0.67,1.42,11.0,4620.0,,2015
16458.49,metal loss,169.5,1.85,3.42,12.0,4640.0,,2015
16460.62,metal loss,208.5,0.75,1.93,36.0,4650.0,,2015
16532.12,cluster,137.0,2.56,6.51,29.0,4660.0,,2015
16532.64,metal loss,198.0,1.02,1.69,12.0,4660.0,,2015
16538.55,metal loss,207.5,1.26,4.57,11.0,4660.0,,2015
16538.65,metal loss,121.0,1.18,1.61,12.0,4660.0,,2015
16538.65,cluster,252.49999999999997,1.67,5.24,29.0,4660.0,,2015
16538.67,metal loss,301.5,0.67,2.01,35.0,4660.0,,2015
16618.79,metal loss,160.0,0.94,0.59,12.0,4680.0,,2015
16620.54,metal loss,225.0,0.51,0.94,13.0,4690.0,,2015
16620.54,metal loss,148.0,1.38,5.55,16.0,4690.0,,2015
16620.54,metal loss,208.0,2.05,2.21,10.0,4690.0,,2015
16620.57,metal loss,191.0,0.71,1.73,16.0,4690.0,,2015
16620.66,metal loss,196.0,0.55,0.59,10.0,4690.0,,2015
16698.65,attachment,180.0,,,,4700.0,Repair Marker 2012 Dig #10 Recoat,2015
16699.09,metal loss,246.5,0.94,3.11,13.0,4700.0,Recoat,2015
16699.09,metal loss,178.0,0.71,2.52,13.0,4700.0,Recoat,2015
16699.1,metal loss,128.5,0.67,4.25,17.0,4700.0,Recoat,2015
16699.12,metal loss,270.5,0.59,1.02,16.0,4700.0,Recoat,2015
16700.71,metal loss,182.0,0.91,2.48,13.0,4710.0,Repaired?,2015
16700.78,metal loss,106.5,1.3,4.84,22.0,4710.0,Repaired?,2015
16700.8,metal loss,147.0,0.87,3.98,45.0,4710.0,Repaired?,2015
16700.8,cluster,184.0,2.4,4.61,22.0,4710.0,Repaired?,2015
16700.81,metal loss,68.5,0.98,4.61,12.0,4710.0,Repaired?,2015
16700.83,metal loss,211.0,0.91,1.77,13.0,4710.0,Repaired?,2015
16701.63,attachment,180.0,,,,4710.0,Repair Marker 2012 Dig #10 Recoat,2015
16780.45,metal loss,121.0,0.32,0.63,10.0,4730.0,,2015
16780.77,metal loss,110.0,0.51,1.34,13.0,4730.0,,2015
17473.09,attachment,180.0,,,,4900.0,Repair Marker 2012 Dig #11 Recoat,2015
17473.17,metal loss,185.5,0.98,3.78,10.0,4900.0,Recoat,2015
17474.86,attachment,180.0,,,,4910.0,Repair Marker 2012 Dig #11 Recoat,2015
18203.47,cluster,176.0,1.69,6.41,28.0,5100.0,,2015
18203.62,metal loss,178.0,0.67,0.75,12.0,5100.0,,2015
18213.52,metal loss,152.0,1.5,2.28,10.0,5120.0,,2015
18213.58,metal loss,182.5,0.83,2.48,31.0,5120.0,,2015
18453.36,metal loss,198.0,0.55,1.1,23.0,5180.0,,2015
18839.54,attachment,180.0,,,,5270.0,Repair Marker,2015
18841.84,metal loss,351.0,1.38,4.45,10.0,5270.0,near girth weld Recoat,2015
18841.88,cluster,188.5,2.53,18.14,54.0,5270.0,affecting girth weld Recoat,2015
18842.02,metal loss,361.5,0.63,5.35,12.0,5270.0,near girth weld Recoat,2015
18842.02,metal loss,349.0,0.47,1.22,18.0,5270.0,near girth weld Recoat,2015
19323.51,metal loss,159.5,0.63,2.21,16.0,5400.0,,2015
19324.23,metal loss,231.0,0.47,0.91,11.0,5400.0,near girth weld,2015
20203.62,metal loss,174.0,0.43,1.34,10.0,5620.0,,2015
20363.63,cluster,200.5,1.98,1.68,34.0,5660.0,,2015
20363.82,metal loss,218.5,0.75,1.89,25.0,5660.0,,2015
20442.48,metal loss,177.0,1.22,2.09,19.0,5680.0,,2015
21048.9,metal loss,185.5,0.55,1.73,25.0,5840.0,,2015
21150.01,metal loss,196.0,0.47,0.98,11.0,5870.0,,2015
21310.13,attachment,180.0,,,,5910.0,Repair Marker 2012 Dig #12 Recoat,2015
21310.24,metal loss,164.5,0.75,2.32,32.0,5910.0,Recoat,2015
21310.26,metal loss,138.0,0.55,1.06,17.0,5910.0,Recoat,2015
21311.75,metal loss,163.5,1.06,0.94,11.0,5920.0,Recoat,2015
21311.82,cluster,221.0,1.62,8.48,49.0,5920.0,Recoat,2015
21311.84,metal loss,272.0,0.94,1.89,24.0,5920.0,Recoat,2015
21311.86,metal loss,108.5,0.87,3.03,17.0,5920.0,Recoat,2015
21311.86,metal loss,135.0,0.35,0.59,14.0,5920.0,Recoat,2015
21311.92,metal loss,160.5,0.59,1.5,26.0,5920.0,Recoat,2015
21311.94,metal loss,138.5,0.55,2.44,31.0,5920.0,Recoat,2015
21312.1,metal loss,132.0,0.47,0.98,17.0,5920.0,Recoat,2015
21312.4,attachment,180.0,,,,5920.0,Repair Marker 2012 Dig #12 Recoat,2015
21335.81,attachment,180.0,,,,5920.0,Repair Marker,2015
21336.97,metal loss,191.5,1.18,1.61,24.0,5920.0,Repaired?,2015
21337.2,cluster,188.0,1.92,4.23,35.0,5920.0,Repaired?,2015
21338.91,attachment,180.0,,,,5920.0,Repair Marker,2015
21367.11,metal loss,162.5,1.61,2.21,11.0,5930.0,,2015
21367.67,metal loss,182.0,1.93,2.6,15.0,5930.0,,2015
21368.43,metal loss,211.5,1.93,1.93,10.0,5930.0,,2015
21368.88,metal loss,207.0,1.14,2.09,11.0,5930.0,,2015
21369.26,metal loss,197.0,1.14,0.67,14.0,5930.0,,2015
21369.32,metal loss,148.5,1.73,1.81,19.0,5930.0,,2015
21369.49,metal loss,173.0,1.06,1.97,13.0,5930.0,,2015
21369.56,cluster,175.0,3.19,9.3,28.0,5930.0,,2015
21369.57,metal loss,192.0,0.39,0.59,10.0,5930.0,,2015
21369.99,metal loss,189.0,0.59,1.69,14.0,5930.0,,2015
21370.13,cluster,196.0,0.82,3.19,18.0,5930.0,,2015
21370.38,metal loss,151.0,1.18,5.04,10.0,5930.0,,2015
21370.48,metal loss,189.0,1.89,2.21,20.0,5930.0,,2015
21371.21,metal loss,169.0,1.97,3.58,14.0,5930.0,,2015
21382.4,cluster,177.5,3.3,8.57,38.0,5930.0,,2015
21382.4,metal loss,144.5,1.42,3.23,24.0,5930.0,,2015
21383.87,metal loss,139.0,1.81,1.85,12.0,5930.0,,2015
21384.17,metal loss,129.5,0.55,1.02,13.0,5930.0,,2015
21384.38,cluster,141.5,3.0,3.44,23.0,5930.0,,2015
21384.38,metal loss,118.5,1.1,1.22,47.0,5930.0,,2015
21384.39,metal loss,137.0,0.63,1.89,12.0,5930.0,,2015
21384.54,metal loss,132.5,0.51,0.98,10.0,5930.0,,2015
21384.58,cluster,122.49999999999999,5.38,5.45,47.0,5930.0,,2015
21384.63,metal loss,132.0,0.32,0.75,11.0,5930.0,,2015
21385.39,metal loss,140.0,1.46,1.89,25.0,5930.0,,2015
21385.69,metal loss,139.5,1.5,1.97,14.0,5930.0,,2015
21389.52,attachment,165.0,,,,5930.0,Repair Marker 2012 Dig #13 Recoat,2015
21390.28,metal loss,221.5,1.14,3.64,54.0,5930.0,Repaired?,2015
21391.82,cluster,260.5,2.11,5.13,45.0,5940.0,Recoat,2015
21391.84,cluster,100.5,1.82,3.06,27.0,5940.0,Recoat,2015
21391.89,cluster,207.0,1.34,8.59,23.0,5940.0,Recoat,2015
21391.95,metal loss,136.0,2.09,11.57,13.0,5940.0,Recoat,2015
21391.96,metal loss,321.5,0.83,1.38,19.0,5940.0,Recoat,2015
21392.68,attachment,180.0,,,,5940.0,Repair Marker 2012 Dig #13 Recoat,2015
21467.08,attachment,180.0,,,,5950.0,Repair Marker,2015
21468.32,cluster,184.5,2.33,8.4,26.0,5950.0,Recoat,2015
21468.35,metal loss,170.0,0.59,0.98,12.0,5950.0,Recoat,2015
21468.42,metal loss,176.5,0.71,0.59,11.0,5950.0,Recoat,2015
21468.43,metal loss,169.5,0.51,0.63,13.0,5950.0,Recoat,2015
21468.58,metal loss,173.0,1.61,1.85,13.0,5950.0,Recoat,2015
21468.59,metal loss,180.0,0.43,0.59,12.0,5950.0,Recoat,2015
21468.68,metal loss,194.0,1.3,0.79,38.0,5950.0,Recoat,2015
21468.69,metal loss,213.5,1.89,5.35,32.0,5950.0,Recoat,2015
21470.41,attachment,180.0,,,,5950.0,Repair Marker,2015
21552.33,metal loss,164.5,0.59,0.67,11.0,5980.0,,2015
21710.28,metal loss,163.0,0.55,1.3,16.0,6010.0,,2015
21845.43,metal loss,207.0,0.75,1.46,19.0,6060.0,,2015
21873.53,metal loss,160.5,0.75,1.5,34.0,6060.0,,2015
21873.53,metal loss,129.5,0.63,1.3,11.0,6060.0,,2015
21875.21,metal loss,227.0,0.79,5.75,18.0,6070.0,,2015
21875.23,metal loss,112.0,1.34,0.98,12.0,6070.0,,2015
21875.26,metal loss,132.0,0.91,4.17,19.0,6070.0,,2015
21955.27,metal loss,150.5,1.22,2.72,11.0,6090.0,,2015
22033.77,cluster,155.0,3.56,12.51,51.0,6100.0,,2015
22033.79,metal loss,265.5,1.42,3.78,21.0,6100.0,,2015
22034.04,metal loss,164.5,0.91,0.59,14.0,6100.0,,2015
22034.05,metal loss,196.5,0.43,0.67,13.0,6100.0,,2015
22035.41,metal loss,218.5,2.21,0.63,27.0,6110.0,,2015
22035.46,metal loss,203.0,1.89,2.01,14.0,6110.0,,2015
22112.9,attachment,180.0,,,,6120.0,Repair Marker,2015
22113.93,metal loss,274.0,1.38,4.61,10.0,6120.0,Recoat,2015
22113.94,metal loss,222.0,1.38,7.99,28.0,6120.0,Recoat,2015
22113.96,metal loss,182.5,0.98,2.32,47.0,6120.0,Recoat,2015
22113.96,metal loss,141.0,1.02,4.33,54.0,6120.0,Recoat,2015
22114.64,attachment,180.0,,,,6120.0,Repair Marker,2015
22354.2,metal loss,189.0,0.63,2.79,10.0,6180.0,,2015
22354.2,metal loss,142.5,0.75,2.84,15.0,6180.0,,2015
22682.66,metal loss,85.0,0.51,0.83,10.0,6270.0,,2015
22682.99,metal loss manufacturing,179.5,0.35,0.67,14.0,6270.0,,2015
22812.91,metal loss,187.5,0.83,1.61,11.0,6310.0,,2015
23006.72,metal loss,204.5,0.59,1.22,12.0,6350.0,,2015
23007.0,metal loss,196.5,0.59,0.67,13.0,6350.0,,2015
23007.05,metal loss,207.0,0.47,0.79,19.0,6350.0,,2015
23007.49,cluster,190.0,1.42,1.55,32.0,6350.0,,2015
23007.71,metal loss,200.5,0.47,0.94,15.0,6350.0,,2015
23008.54,metal loss,189.5,0.55,1.1,16.0,6350.0,,2015
23018.59,metal loss,141.0,0.59,1.06,11.0,6360.0,,2015
23018.95,metal loss,136.5,1.5,1.46,16.0,6360.0,,2015
23019.23,metal loss,134.0,1.5,1.81,12.0,6360.0,,2015
23019.6,metal loss,122.0,1.73,1.26,14.0,6360.0,,2015
23020.83,metal loss,124.00000000000001,0.91,1.3,14.0,6360.0,,2015
23021.31,metal loss,130.0,0.59,1.18,10.0,6360.0,,2015
23021.79,metal loss,118.5,1.22,1.89,24.0,6360.0,,2015
23022.85,metal loss,228.5,0.71,1.38,21.0,6360.0,,2015
23022.89,metal loss,125.00000000000001,0.75,1.26,13.0,6360.0,,2015
23023.0,metal loss,125.5,0.63,1.18,11.0,6360.0,,2015
23023.3,metal loss,129.0,0.79,1.22,14.0,6360.0,,2015
23023.7,metal loss,225.0,0.63,0.94,10.0,6360.0,,2015
23023.8,metal loss,224.5,1.34,1.34,11.0,6360.0,,2015
23024.39,metal loss,219.5,0.91,1.73,17.0,6360.0,,2015
23024.82,metal loss,128.5,1.53,1.73,13.0,6360.0,,2015
23024.88,metal loss,233.5,0.87,2.03,49.0,6360.0,,2015
23028.38,metal loss,131.0,0.63,1.1,10.0,6360.0,,2015
23028.66,cluster,116.0,1.38,3.65,29.0,6360.0,,2015
23028.86,metal loss,130.0,1.1,1.5,12.0,6360.0,,2015
23029.76,metal loss,124.00000000000001,0.83,1.26,16.0,6360.0,,2015
23030.14,metal loss,233.5,0.79,2.05,12.0,6360.0,,2015
23030.41,metal loss,130.5,0.98,1.38,11.0,6360.0,,2015
23031.76,metal loss,121.0,1.26,1.53,23.0,6360.0,,2015
23032.43,metal loss,130.0,0.79,1.42,11.0,6360.0,,2015
23040.25,metal loss,142.5,0.51,1.3,22.0,6360.0,,2015
23040.57,metal loss,138.5,1.85,2.4,20.0,6360.0,,2015
23053.14,metal loss,160.5,0.67,1.1,37.0,6370.0,,2015
23060.55,metal loss,218.5,0.32,0.71,10.0,6370.0,,2015
23063.48,metal loss,107.0,0.39,0.67,12.0,6370.0,,2015
23074.6,metal loss,109.5,0.39,0.63,10.0,6370.0,,2015
23198.67,metal loss manufacturing,37.0,2.17,1.77,11.0,6400.0,,2015
23639.84,metal loss,115.5,0.79,3.98,19.0,6520.0,,2015
23667.04,metal loss,344.0,0.87,3.66,15.0,6520.0,,2015
23667.31,cluster,372.0,3.48,8.23,31.0,6520.0,,2015
23667.5,metal loss,39.0,0.51,0.59,12.0,6520.0,,2015
23668.17,metal loss,49.5,0.39,0.83,10.0,6520.0,,2015
23668.7,metal loss,43.5,1.26,2.48,10.0,6520.0,,2015
23669.0,metal loss,314.5,0.79,2.4,20.0,6520.0,,2015
23669.09,metal loss,378.0,0.75,2.05,18.0,6520.0,,2015
23705.0,attachment,180.0,,,,6530.0,Repair Marker 2012 Dig #14 Recoat,2015
23705.79,cluster,86.0,1.81,5.32,48.0,6530.0,Repaired?,2015
23705.81,metal loss,188.5,1.42,7.24,61.0,6530.0,Repaired?,2015
23705.81,metal loss,126.0,1.1,5.04,42.0,6530.0,Repaired?,2015
23705.81,metal loss,233.5,1.22,3.9,21.0,6530.0,Repaired?,2015
23705.83,metal loss,272.5,1.1,6.26,23.0,6530.0,Repaired?,2015
23707.49,metal loss,155.0,0.55,1.14,70.0,6540.0,Recoat,2015
23707.88,attachment,180.0,,,,6540.0,Repair Marker 2012 Dig #14 Recoat,2015
23785.78,cluster,158.5,1.02,4.65,85.0,6550.0,,2015
23867.6,metal loss,169.0,0.71,1.38,22.0,6580.0,,2015
23945.68,metal loss,148.5,0.47,0.94,19.0,6590.0,,2015
23947.62,metal loss,132.0,0.75,2.01,16.0,6600.0,,2015
24696.32,metal loss,265.5,2.28,1.3,20.0,6790.0,,2015
25487.18,metal loss,113.0,0.59,1.26,15.0,6990.0,,2015
25525.05,metal loss,195.0,0.75,1.26,10.0,6990.0,,2015
25570.01,metal loss,128.5,1.26,1.77,12.0,7010.0,,2015
25875.13,metal loss,65.0,1.3,2.91,14.0,7120.0,,2015
25912.13,metal loss manufacturing,66.0,0.35,0.87,11.0,7120.0,,2015
26035.21,metal loss,197.5,0.98,1.58,12.0,7160.0,,2015
26444.25,metal loss manufacturing,283.5,0.43,0.71,15.0,7260.0,,2015
26454.26,metal loss,104.5,2.32,1.26,12.0,7260.0,,2015
26906.77,attachment,180.0,,,,7380.0,Repair Marker 2012 Dig #1 Recoat,2015
26906.78,metal loss,222.5,0.71,1.3,35.0,7380.0,Recoat,2015
26907.12,metal loss,232.0,0.94,1.81,40.0,7380.0,Recoat,2015
26907.12,metal loss,182.0,0.67,1.06,44.0,7380.0,Recoat,2015
26907.12,metal loss,265.5,0.63,1.18,13.0,7380.0,Recoat,2015
26907.14,metal loss,139.5,0.87,4.84,55.0,7380.0,Recoat,2015
26907.36,cluster,178.5,1.98,2.87,62.0,7380.0,Recoat,2015
26909.84,attachment,180.0,,,,7390.0,Repair Marker 2012 Dig #1 Recoat,2015
26969.94,metal loss,122.0,0.55,0.75,14.0,7400.0,,2015
26970.0,metal loss,108.0,0.94,2.05,10.0,7400.0,,2015
