type,joint,dist_15,dist_22,shift
Girth Weld,1630.0,5552.35,5568.114,15.76
Girth Weld,1640.0,5592.44,5608.422,15.98
Girth Weld,1650.0,5607.75,5623.77,16.02
Girth Weld,1660.0,5647.81,5663.783,15.97
Girth Weld,1670.0,5687.87,5704.072,16.2
Girth Weld,1680.0,5727.92,5744.088,16.17
Girth Weld,1690.0,5754.37,5770.673,16.3
Girth Weld,1700.0,5794.37,5810.689,16.32
Girth Weld,1710.0,5834.42,5850.922,16.5
Girth Weld,1720.0,5874.45,5890.948,16.5
Girth Weld,1730.0,5914.54,5931.27,16.73
Girth Weld,1740.0,5954.62,5971.417,16.8
Girth Weld,1750.0,5994.65,6011.706,17.06
Girth Weld,1760.0,6034.71,6051.742,17.03
Girth Weld,1770.0,6071.64,6088.871,17.23
Girth Weld,1780.0,6111.68,6128.885,17.2
Girth Weld,1790.0,6151.73,6169.108,17.38
Girth Weld,1800.0,6191.74,6209.101,17.36
Girth Weld,1810.0,6231.78,6249.38,17.6
Girth Weld,1820.0,6271.85,6289.528,17.68
Girth Weld,1830.0,6311.77,6329.902,18.13
Girth Weld,1840.0,6351.91,6370.016,18.11
Girth Weld,1850.0,6392.02,6410.272,18.25
Girth Weld,1860.0,6411.38,6429.573,18.19
Girth Weld,1870.0,6451.32,6469.754,18.43
Girth Weld,1880.0,6491.33,6509.747,18.42
Girth Weld,1890.0,6531.29,6549.938,18.65
Girth Weld,1900.0,6571.3,6589.941,18.64
Girth Weld,1910.0,6611.29,6630.154,18.86
Girth Weld,1920.0,6651.22,6670.148,18.93
Girth Weld,1930.0,6691.21,6710.384,19.17
Girth Weld,1940.0,6731.14,6750.322,19.18
Girth Weld,1950.0,6771.13,6790.528,19.4
Girth Weld,1960.0,6803.11,6822.477,19.37
Girth Weld,1970.0,6843.2,6862.73,19.53
Girth Weld,1980.0,6863.86,6883.323,19.46
Girth Weld,1990.0,6903.85,6923.57,19.72
Girth Weld,2000.0,6943.85,6963.648,19.8
Girth Weld,2010.0,6983.77,7003.783,20.01
Girth Weld,2020.0,7016.64,7036.673,20.03
Girth Weld,2030.0,7056.65,7076.916,20.27
Girth Weld,2040.0,7096.68,7116.932,20.25
Girth Weld,2050.0,7136.64,7157.156,20.52
Girth Weld,2060.0,7176.67,7197.172,20.5
Girth Weld,2070.0,7216.73,7237.395,20.67
Girth Weld,2080.0,7256.79,7277.539,20.75
Girth Weld,2090.0,7296.84,7317.677,20.84
Tap,2090.0,7301.09,7321.903,20.81
Tap,2090.0,7303.08,7323.862,20.78
Girth Weld,2100.0,7336.88,7357.779,20.9
Girth Weld,2110.0,7376.98,7398.035,21.06
Girth Weld,2120.0,7417.07,7438.028,20.96
Girth Weld,2130.0,7457.04,7478.209,21.17
Girth Weld,2140.0,7497.1,7518.245,21.14
Girth Weld,2150.0,7537.23,7558.501,21.27
Girth Weld,2160.0,7577.32,7598.504,21.18
Girth Weld,2170.0,7617.42,7638.806,21.39
Girth Weld,2180.0,7657.51,7678.904,21.39
Girth Weld,2190.0,7697.63,7719.337,21.71
Girth Weld,2200.0,7737.73,7759.528,21.8
Girth Weld,2210.0,7777.78,7799.803,22.02
Girth Weld,2220.0,7788.68,7810.676,22.0
Girth Weld,2230.0,7828.78,7850.725,21.95
Girth Weld,2240.0,7868.87,7890.958,22.09
Girth Weld,2250.0,7908.95,7931.007,22.06
Girth Weld,2260.0,7948.8,7971.188,22.39
Girth Weld,2270.0,7988.9,8011.411,22.51
Girth Weld,2280.0,8029.06,8051.841,22.78
Girth Weld,2290.0,8069.19,8091.932,22.74
Girth Weld,2300.0,8109.22,8132.146,22.93
Girth Weld,2310.0,8149.3,8172.172,22.87
Girth Weld,2320.0,8189.36,8212.405,23.05
Girth Weld,2330.0,8229.44,8252.408,22.97
Girth Weld,2340.0,8269.53,8292.644,23.11
Girth Weld,2350.0,8309.59,8332.69,23.1
Girth Weld,2360.0,8349.7,8372.904,23.2
Girth Weld,2370.0,8389.73,8412.917,23.19
Girth Weld,2380.0,8429.85,8453.317,23.47
Girth Weld,2390.0,8455.03,8478.458,23.43
Girth Weld,2400.0,8495.11,8518.694,23.58
Girth Weld,2410.0,8535.2,8558.825,23.62
Girth Weld,2420.0,8575.28,8598.999,23.72
Girth Weld,2430.0,8615.33,8638.993,23.66
Girth Weld,2440.0,8655.39,8679.259,23.87
Girth Weld,2450.0,8694.21,8717.995,23.79
Girth Weld,2460.0,8734.21,8758.228,24.02
Girth Weld,2470.0,8774.28,8798.222,23.94
Girth Weld,2480.0,8814.34,8838.533,24.19
Girth Weld,2490.0,8854.31,8878.425,24.11
Girth Weld,2500.0,8894.31,8918.652,24.34
Girth Weld,2510.0,8934.36,8958.599,24.24
Girth Weld,2520.0,8972.21,8996.68,24.47
Girth Weld,2530.0,9012.46,9036.857,24.4
Girth Weld,2540.0,9052.64,9077.192,24.55
Girth Weld,2550.0,9092.72,9117.224,24.5
Girth Weld,2560.0,9132.76,9157.484,24.72
Girth Weld,2570.0,9172.79,9197.477,24.69
Girth Weld,2580.0,9212.83,9237.71,24.88
Girth Weld,2590.0,9252.81,9277.759,24.95
Girth Weld,2600.0,9292.73,9318.015,25.28
Girth Weld,2610.0,9332.89,9358.196,25.31
Girth Weld,2620.0,9373.09,9398.517,25.43
Girth Weld,2630.0,9412.95,9438.609,25.66
Girth Weld,2640.0,9423.94,9449.938,26.0
Girth Weld,2650.0,9464.58,9490.161,25.58
Girth Weld,2660.0,9481.55,9507.274,25.72
Girth Weld,2670.0,9502.04,9527.835,25.79
Girth Weld,2680.0,9542.13,9568.114,25.98
Girth Weld,2690.0,9582.24,9608.248,26.01
Girth Weld,2700.0,9622.29,9648.55,26.26
Girth Weld,2710.0,9662.34,9688.684,26.34
Girth Weld,2720.0,9698.96,9725.354,26.39
Girth Weld,2730.0,9739.09,9765.423,26.33
Girth Weld,2740.0,9779.3,9805.614,26.31
Girth Weld,2750.0,9787.19,9814.134,26.94
Girth Weld,2760.0,9802.28,9829.226,26.95
Area Start Tee,2760.0,9839.56,9867.221,27.66
Girth Weld,2770.0,9842.33,9869.36,27.03
Girth Weld,2780.0,9880.1,9907.32,27.22
Girth Weld,2790.0,9920.18,9947.346,27.17
Girth Weld,2800.0,9960.23,9987.592,27.36
Girth Weld,2810.0,10000.25,10027.575,27.33
Girth Weld,2820.0,10040.32,10067.785,27.47
Girth Weld,2830.0,10080.65,10108.022,27.37
Girth Weld,2840.0,10121.04,10148.504,27.46
Girth Weld,2850.0,10134.53,10161.969,27.44
Girth Weld,2860.0,10174.6,10202.014,27.41
Girth Weld,2870.0,10214.78,10242.503,27.72
Girth Weld,2880.0,10254.92,10282.746,27.83
Girth Weld,2890.0,10295.13,10323.176,28.05
Girth Weld,2900.0,10335.22,10363.238,28.02
Girth Weld,2910.0,10375.3,10403.448,28.15
Girth Weld,2920.0,10395.84,10423.888,28.05
Girth Weld,2930.0,10435.89,10464.101,28.21
Agm,2930.0,10460.1,10482.379,22.28
Girth Weld,2940.0,10475.98,10504.114,28.13
Girth Weld,2950.0,10516.03,10544.373,28.34
Girth Weld,2960.0,10556.14,10584.4,28.26
Girth Weld,2970.0,10596.33,10624.797,28.47
Tap,2970.0,10630.49,10658.901,28.41
Tap,2970.0,10632.49,10660.823,28.33
Girth Weld,2980.0,10636.39,10664.734,28.34
Girth Weld,2990.0,10676.48,10705.0,28.52
Girth Weld,3000.0,10716.58,10744.993,28.41
Girth Weld,3010.0,10755.34,10783.993,28.65
Girth Weld,3020.0,10775.14,10803.701,28.56
Girth Weld,3030.0,10815.48,10844.173,28.69
Girth Weld,3040.0,10855.52,10884.232,28.71
Girth Weld,3050.0,10895.55,10924.511,28.96
Girth Weld,3060.0,10935.57,10964.505,28.93
Girth Weld,3070.0,10975.62,11004.708,29.09
Girth Weld,3080.0,11015.67,11044.678,29.01
Girth Weld,3090.0,11055.71,11084.888,29.18
Girth Weld,3100.0,11095.72,11124.872,29.15
Girth Weld,3110.0,11135.74,11165.039,29.3
Girth Weld,3120.0,11175.73,11204.957,29.23
Girth Weld,3130.0,11215.76,11245.148,29.39
Girth Weld,3140.0,11255.83,11285.151,29.32
Girth Weld,3150.0,11295.9,11325.331,29.43
Girth Weld,3160.0,11335.96,11365.348,29.39
Girth Weld,3170.0,11376.04,11405.538,29.5
Girth Weld,3180.0,11416.08,11445.617,29.54
Girth Weld,3190.0,11456.24,11485.909,29.67
Girth Weld,3200.0,11496.38,11525.978,29.6
Girth Weld,3210.0,11536.46,11566.211,29.75
Girth Weld,3220.0,11576.56,11606.348,29.79
Girth Weld,3230.0,11615.97,11645.869,29.9
Girth Weld,3240.0,11655.8,11685.709,29.91
Girth Weld,3250.0,11695.83,11725.919,30.09
Girth Weld,3260.0,11735.85,11765.915,30.07
Girth Weld,3270.0,11775.89,11806.148,30.26
Girth Weld,3280.0,11815.91,11846.276,30.37
Girth Weld,3290.0,11855.91,11886.519,30.61
Girth Weld,3300.0,11895.94,11926.588,30.65
Girth Weld,3310.0,11936.0,11966.814,30.81
Girth Weld,3320.0,11976.04,12006.808,30.77
Girth Weld,3330.0,12016.1,12047.041,30.94
Girth Weld,3340.0,12056.09,12087.001,30.91
Girth Weld,3350.0,12096.09,12127.215,31.12
Girth Weld,3360.0,12136.11,12167.185,31.07
Girth Weld,3370.0,12176.05,12207.398,31.35
Girth Weld,3380.0,12216.01,12247.411,31.4
Girth Weld,3390.0,12256.05,12287.733,31.68
Girth Weld,3400.0,12296.1,12327.999,31.9
Girth Weld,3410.0,12336.12,12368.301,32.18
Girth Weld,3420.0,12376.08,12408.337,32.26
Girth Weld,3430.0,12409.59,12442.031,32.44
Girth Weld,3440.0,12449.51,12482.077,32.57
Girth Weld,3450.0,12489.48,12522.172,32.69
Girth Weld,3460.0,12529.5,12562.185,32.68
Girth Weld,3470.0,12569.49,12602.411,32.92
Girth Weld,3480.0,12597.28,12630.131,32.85
Girth Weld,3490.0,12637.46,12670.335,32.88
Girth Weld,3500.0,12650.16,12683.547,33.39
Girth Weld,3510.0,12679.07,12712.287,33.22
Girth Weld,3520.0,12719.12,12752.3,33.18
Girth Weld,3530.0,12759.17,12792.523,33.35
Girth Weld,3540.0,12799.18,12832.559,33.38
Girth Weld,3550.0,12839.18,12872.74,33.56
Girth Weld,3560.0,12879.25,12912.874,33.62
Girth Weld,3570.0,12919.27,12952.946,33.68
Girth Weld,3580.0,12959.37,12992.982,33.61
Girth Weld,3590.0,12999.29,13033.13,33.84
Girth Weld,3600.0,13035.04,13068.868,33.83
Girth Weld,3610.0,13075.02,13109.101,34.08
Girth Weld,3620.0,13115.05,13149.108,34.06
Girth Weld,3630.0,13155.1,13189.386,34.29
Girth Weld,3640.0,13195.16,13229.432,34.27
Girth Weld,3650.0,13235.17,13269.623,34.45
Girth Weld,3660.0,13275.22,13309.705,34.49
Girth Weld,3670.0,13315.19,13349.895,34.7
Girth Weld,3680.0,13355.24,13389.898,34.66
Girth Weld,3690.0,13395.4,13430.112,34.71
Girth Weld,3700.0,13409.71,13445.292,35.58
Girth Weld,3710.0,13450.09,13485.449,35.36
Girth Weld,3720.0,13490.17,13525.659,35.49
Girth Weld,3730.0,13530.24,13565.719,35.48
Girth Weld,3740.0,13570.27,13606.043,35.77
Girth Weld,3750.0,13610.44,13646.132,35.69
Girth Weld,3760.0,13647.91,13684.049,36.14
Girth Weld,3770.0,13686.89,13723.045,36.16
Girth Weld,3780.0,13726.94,13763.258,36.32
Girth Weld,3790.0,13751.23,13787.523,36.29
Girth Weld,3800.0,13791.16,13827.74,36.58
Girth Weld,3810.0,13831.31,13867.785,36.48
Girth Weld,3820.0,13871.43,13907.989,36.56
Girth Weld,3830.0,13911.58,13948.045,36.47
Girth Weld,3840.0,13951.67,13988.238,36.57
Girth Weld,3850.0,13962.95,13999.413,36.46
Girth Weld,3860.0,14003.03,14039.659,36.63
Girth Weld,3870.0,14030.23,14066.778,36.55
Girth Weld,3880.0,14044.12,14081.283,37.16
Girth Weld,3890.0,14057.38,14094.098,36.72
Girth Weld,3900.0,14097.51,14134.386,36.88
Girth Weld,3910.0,14137.56,14174.39,36.83
Girth Weld,3920.0,14177.74,14214.583,36.84
Girth Weld,3930.0,14192.65,14230.112,37.46
Girth Weld,3940.0,14215.54,14252.726,37.19
Girth Weld,3950.0,14255.62,14292.874,37.25
Girth Weld,3960.0,14295.73,14333.281,37.55
Girth Weld,3970.0,14335.77,14373.33,37.56
Girth Weld,3980.0,14375.79,14413.576,37.79
Girth Weld,3990.0,14415.89,14453.602,37.71
Girth Weld,4000.0,14455.91,14493.891,37.98
Girth Weld,4010.0,14495.99,14533.983,37.99
Girth Weld,4020.0,14536.06,14574.216,38.16
Girth Weld,4030.0,14576.18,14614.327,38.15
Girth Weld,4040.0,14616.24,14654.652,38.41
Girth Weld,4050.0,14656.33,14694.688,38.36
Girth Weld,4060.0,14696.18,14734.944,38.76
Girth Weld,4070.0,14703.07,14741.844,38.77
Girth Weld,4080.0,14741.05,14779.826,38.78
Girth Weld,4090.0,14770.67,14809.695,39.02
Girth Weld,4100.0,14776.84,14815.751,38.91
Girth Weld,4110.0,14816.3,14855.331,39.03
Girth Weld,4120.0,14856.33,14895.509,39.18
Girth Weld,4130.0,14896.33,14935.623,39.29
Girth Weld,4140.0,14902.4,14941.68,39.28
Girth Weld,4150.0,14921.6,14960.876,39.28
Girth Weld,4160.0,14957.97,15001.115,43.15
Tap,4160.01,14961.58,15004.898,43.32
Valve,4160.01,14964.96,15006.44,41.48
Tap,4160.01,14966.93,15007.71,40.78
Girth Weld,4190.0,14972.08,15011.617,39.54
Girth Weld,4200.0,14985.3,15024.764,39.46
Girth Weld,4210.0,15025.35,15065.039,39.69
Girth Weld,4220.0,15065.38,15105.056,39.68
Girth Weld,4230.0,15105.49,15145.279,39.79
Girth Weld,4240.0,15145.46,15185.384,39.92
Girth Weld,4250.0,15185.39,15225.486,40.1
Girth Weld,4260.0,15225.33,15265.39,40.06
Girth Weld,4270.0,15264.67,15304.934,40.26
Girth Weld,4280.0,15275.56,15315.86,40.3
Girth Weld,4290.0,15285.68,15325.833,40.15
Girth Weld,4300.0,15294.95,15335.797,40.85
Girth Weld,4310.0,15312.24,15352.431,40.19
Girth Weld,4320.0,15320.25,15360.951,40.7
Girth Weld,4330.0,15341.07,15381.522,40.45
Girth Weld,4340.0,15352.78,15393.717,40.94
Girth Weld,4350.0,15366.31,15406.719,40.41
Girth Weld,4360.0,15375.09,15416.299,41.21
Girth Weld,4370.0,15387.56,15428.228,40.67
Girth Weld,4380.0,15427.75,15468.432,40.68
Valve,4380.0,15433.92,15474.593,40.67
Girth Weld,4390.0,15439.11,15480.758,41.65
Girth Weld,4400.0,15464.3,15506.161,41.86
Girth Weld,4410.0,15504.34,15546.545,42.2
Girth Weld,4420.0,15544.4,15586.683,42.28
Girth Weld,4430.0,15584.42,15626.919,42.5
Girth Weld,4440.0,15624.49,15666.955,42.47
Girth Weld,4450.0,15664.67,15707.274,42.6
Girth Weld,4460.0,15704.83,15747.346,42.52
Girth Weld,4470.0,15744.92,15787.569,42.65
Girth Weld,4480.0,15784.93,15827.546,42.62
Girth Weld,4490.0,15824.95,15867.799,42.85
Girth Weld,4500.0,15859.81,15902.585,42.77
Agm,4500.0,15860.33,15784.055,-76.27
Girth Weld,4510.0,15899.73,15942.841,43.11
Girth Weld,4520.0,15939.81,15982.999,43.19
Girth Weld,4530.0,15979.91,16023.343,43.43
Girth Weld,4540.0,16020.03,16063.399,43.37
Girth Weld,4550.0,16060.0,16103.593,43.59
Girth Weld,4560.0,16099.07,16142.612,43.54
Girth Weld,4570.0,16139.14,16182.953,43.81
Girth Weld,4580.0,16179.2,16223.068,43.87
Girth Weld,4590.0,16219.25,16263.379,44.13
Girth Weld,4600.0,16259.28,16303.415,44.14
Girth Weld,4610.0,16299.36,16343.671,44.31
Girth Weld,4620.0,16339.42,16383.72,44.3
Girth Weld,4630.0,16379.33,16423.845,44.52
Girth Weld,4640.0,16419.43,16463.881,44.45
Girth Weld,4650.0,16459.45,16504.062,44.61
Girth Weld,4660.0,16499.44,16544.022,44.58
Girth Weld,4670.0,16539.54,16584.232,44.69
Girth Weld,4680.0,16579.65,16624.281,44.63
Girth Weld,4690.0,16619.73,16664.528,44.8
Girth Weld,4700.0,16659.85,16704.583,44.73
Girth Weld,4710.0,16699.96,16744.787,44.83
Girth Weld,4720.0,16740.08,16784.813,44.73
Girth Weld,4730.0,16780.19,16825.059,44.87
Girth Weld,4740.0,16820.29,16865.062,44.77
Girth Weld,4750.0,16860.34,16905.285,44.94
Girth Weld,4760.0,16900.42,16945.256,44.84
Girth Weld,4770.0,16940.39,16985.469,45.08
Girth Weld,4780.0,16980.5,17025.594,45.09
Girth Weld,4790.0,17020.62,17065.837,45.22
Girth Weld,4800.0,17060.75,17105.866,45.12
Girth Weld,4810.0,17100.85,17146.165,45.32
Girth Weld,4820.0,17141.12,17186.398,45.28
Girth Weld,4830.0,17181.45,17226.864,45.41
Girth Weld,4840.0,17193.31,17238.74,45.43
Girth Weld,4850.0,17233.54,17279.029,45.49
Girth Weld,4860.0,17273.64,17319.173,45.53
Girth Weld,4870.0,17313.8,17359.475,45.67
Girth Weld,4880.0,17353.93,17399.534,45.6
Girth Weld,4890.0,17393.97,17439.767,45.8
Girth Weld,4900.0,17434.03,17479.882,45.85
Girth Weld,4910.0,17474.05,17520.125,46.08
Girth Weld,4920.0,17514.06,17560.295,46.23
Girth Weld,4930.0,17554.21,17600.659,46.45
Girth Weld,4940.0,17563.57,17610.689,47.12
Girth Weld,4950.0,17589.01,17635.728,46.72
Girth Weld,4960.0,17620.31,17666.975,46.66
Girth Weld,4970.0,17660.43,17707.08,46.65
Girth Weld,4980.0,17700.59,17747.208,46.62
Girth Weld,4990.0,17740.76,17787.395,46.64
Girth Weld,5000.0,17780.81,17827.441,46.63
Girth Weld,5010.0,17820.91,17867.543,46.63
Girth Weld,5020.0,17861.04,17907.723,46.68
Girth Weld,5030.0,17892.86,17939.626,46.77
Girth Weld,5040.0,17932.93,17979.724,46.79
Girth Weld,5050.0,17973.09,18019.915,46.83
Girth Weld,5060.0,18013.2,18059.957,46.76
Girth Weld,5070.0,18044.52,18091.391,46.87
Girth Weld,5080.0,18084.58,18131.467,46.89
Girth Weld,5090.0,18124.56,18171.549,46.99
Girth Weld,5100.0,18164.55,18211.552,47.0
Girth Weld,5110.0,18204.57,18251.742,47.17
Girth Weld,5120.0,18212.77,18259.869,47.1
Girth Weld,5130.0,18252.75,18299.987,47.24
Girth Weld,5140.0,18292.72,18340.072,47.35
Girth Weld,5150.0,18332.63,18380.148,47.52
Girth Weld,5160.0,18372.49,18420.135,47.64
Girth Weld,5170.0,18412.49,18460.197,47.71
Girth Weld,5180.0,18452.49,18500.538,48.05
Girth Weld,5190.0,18492.4,18540.6,48.2
Girth Weld,5200.0,18526.94,18575.387,48.45
Girth Weld,5210.0,18566.97,18615.469,48.5
Girth Weld,5220.0,18606.87,18655.515,48.65
Girth Weld,5230.0,18646.76,18695.433,48.67
Girth Weld,5240.0,18686.76,18735.61,48.85
Girth Weld,5250.0,18726.75,18775.646,48.9
Girth Weld,5260.0,18766.8,18815.804,49.0
Girth Weld,5270.0,18806.83,18855.794,48.96
Girth Weld,5280.0,18842.14,18891.201,49.06
Girth Weld,5290.0,18853.96,18903.533,49.57
Agm,5290.0,18883.46,18933.179,49.72
