distance,event_type,orientation,length,width,depth,joint_number,comments,year
2113.625,metal loss,358.5,1.6,0.5,26.0,720,,2022
2116.434,metal loss,361.5,4.2,1.3,11.0,720,,2022
2118.222,metal loss,361.0,2.0,1.1,19.0,720,,2022
2118.927,metal loss,357.0,1.3,2.4,19.0,720,,2022
2120.712,metal loss,358.5,1.3,1.8,21.0,720,,2022
2130.22,metal loss,356.5,2.3,1.5,13.0,720,,2022
2130.256,metal loss,389.0,8.1,2.4,23.0,720,,2022
2130.869,metal loss,353.5,4.4,2.6,21.0,720,,2022
2131.486,metal loss,353.5,3.3,2.6,30.0,720,,2022
2132.188,metal loss,358.0,0.6,1.1,28.0,720,,2022
2133.848,metal loss,353.5,0.5,0.7,35.0,720,,2022
2141.998,metal loss,355.5,1.2,0.9,17.0,720,,2022
2142.503,metal loss,354.0,4.6,1.5,18.0,720,,2022
2143.245,metal loss,356.0,0.7,0.8,42.0,720,,2022
2144.606,metal loss,342.0,4.8,4.7,25.0,720,,2022
2150.925,metal loss,344.5,5.3,1.7,11.0,730,,2022
2153.222,metal loss,356.0,0.9,0.9,28.0,730,,2022
2155.052,metal loss,161.5,1.0,0.8,23.0,730,,2022
2155.978,metal loss,346.5,0.9,1.2,14.0,730,,2022
2156.253,metal loss,347.0,8.5,2.9,14.0,730,,2022
2159.675,metal loss,359.5,1.9,1.5,15.0,730,,2022
2159.98,metal loss,344.0,1.3,0.9,16.0,730,,2022
2162.293,metal loss,344.5,0.7,0.9,27.0,730,,2022
2165.869,metal loss,354.5,7.7,4.6,42.0,730,,2022
2174.606,metal loss,306.0,2.1,1.0,14.0,730,,2022
2175.748,metal loss,359.0,2.5,1.4,14.0,730,,2022
2180.295,metal loss,340.0,5.0,0.8,19.0,730,,2022
2183.586,metal loss,351.0,1.7,1.6,20.0,730,,2022
2188.773,metal loss,139.5,1.1,0.7,32.0,740,,2022
2195.65,metal loss,352.0,0.7,0.3,26.0,740,,2022
2198.681,metal loss,346.0,0.9,1.1,24.0,740,,2022
2210.804,metal loss,174.5,1.0,1.1,18.0,740,,2022
2213.691,metal loss,355.0,3.9,0.9,11.0,740,,2022
2215.751,metal loss,174.5,0.9,1.1,22.0,740,,2022
2222.26,metal loss,179.0,5.3,1.2,21.0,740,,2022
2222.917,metal loss,179.0,0.9,0.5,14.0,740,,2022
2223.812,metal loss,179.0,1.1,0.8,24.0,740,,2022
2224.337,metal loss,179.0,0.6,0.9,18.0,740,,2022
2228.32,metal loss,169.5,3.2,5.2,14.0,750,,2022
2228.402,metal loss,346.5,22.3,6.9,18.0,750,,2022
2233.734,metal loss,177.0,1.1,1.1,24.0,750,,2022
2235.787,metal loss,178.5,1.4,1.1,26.0,750,,2022
2240.085,metal loss,179.0,0.7,0.7,41.0,750,,2022
2240.354,metal loss,134.5,3.2,1.3,32.0,750,,2022
2241.824,metal loss,179.0,0.9,0.8,30.0,750,,2022
2242.293,metal loss,178.5,1.2,1.0,32.0,750,,2022
2243.248,metal loss,139.5,0.8,0.7,37.0,750,,2022
2246.115,metal loss,142.5,1.3,0.7,52.0,750,,2022
2255.696,metal loss,182.5,15.6,2.2,22.0,750,,2022
2260.151,metal loss,180.5,1.5,0.6,22.0,750,,2022
2261.995,metal loss,197.5,1.0,0.9,26.0,750,,2022
2264.826,metal loss,144.0,10.9,2.2,24.0,750,,2022
2270.394,metal loss,156.0,7.6,1.7,16.0,760,,2022
2271.26,metal loss,158.5,1.2,1.0,27.0,760,,2022
2271.526,metal loss,137.0,5.2,1.0,19.0,760,,2022
2271.939,metal loss,158.0,1.0,0.7,29.0,760,,2022
2272.552,metal loss,146.0,1.5,0.8,19.0,760,,2022
2276.969,metal loss,148.0,5.4,1.5,11.0,760,,2022
2278.127,metal loss,184.0,1.3,0.9,34.0,760,,2022
2279.085,metal loss,146.5,2.2,1.0,19.0,760,,2022
2281.194,metal loss,187.5,2.2,1.2,20.0,760,,2022
2284.577,metal loss,147.0,1.7,1.1,16.0,760,,2022
2286.739,metal loss,148.5,1.7,1.1,21.0,760,,2022
2295.108,metal loss,148.5,6.3,0.9,12.0,760,,2022
2296.847,metal loss,150.5,4.7,2.3,14.0,760,,2022
2297.976,metal loss,151.5,1.9,0.6,29.0,760,,2022
2302.69,metal loss,167.5,1.0,1.2,13.0,760,,2022
2303.32,metal loss,160.5,0.9,0.7,21.0,760,,2022
2304.518,metal loss,167.0,4.3,0.9,16.0,760,,2022
2305.328,metal loss,167.0,2.1,0.9,19.0,760,,2022
2312.041,metal loss,163.0,2.3,0.9,20.0,770,,2022
2316.404,metal loss,154.0,1.0,0.9,35.0,770,,2022
2317.051,metal loss,160.5,5.4,3.8,28.0,770,,2022
2381.581,metal loss,204.0,2.9,0.9,11.0,800,,2022
2382.211,metal loss,204.5,2.4,1.7,13.0,800,,2022
2384.488,metal loss,211.5,13.9,2.5,12.0,800,,2022
2384.692,metal loss,126.5,5.2,1.0,13.0,800,,2022
2386.447,metal loss,213.5,3.5,0.4,10.0,800,,2022
2389.984,metal loss,116.5,14.4,1.1,11.0,800,,2022
2392.887,metal loss,112.0,1.1,0.5,11.0,800,,2022
2395.131,metal loss,109.5,1.1,0.5,11.0,800,,2022
3163.169,metal loss manufacturing anomaly,184.5,0.4,0.6,26.0,1010,,2022
3163.461,metal loss manufacturing anomaly,179.0,0.7,1.1,20.0,1010,,2022
3357.569,metal loss,223.5,6.8,5.0,22.0,1050,,2022
3357.828,metal loss,120.0,2.1,1.4,30.0,1050,,2022
3415.236,metal loss,177.5,3.3,3.1,22.0,1070,,2022
3416.762,metal loss,170.0,2.7,3.7,26.0,1070,,2022
3419.108,metal loss,148.0,6.3,2.7,20.0,1070,,2022
3438.005,metal loss,262.0,1.7,2.4,18.0,1070,,2022
3438.041,metal loss,222.0,3.8,5.2,19.0,1070,,2022
3438.225,metal loss,90.5,1.5,1.9,22.0,1070,,2022
3438.264,metal loss,138.0,3.4,1.5,18.0,1070,,2022
3438.343,metal loss,159.0,15.4,13.6,19.0,1070,,2022
3438.701,metal loss,91.0,6.3,4.5,23.0,1070,,2022
3438.747,metal loss,359.5,2.8,3.8,17.0,1070,,2022
3493.471,metal loss,381.0,8.9,1.8,13.0,1090,,2022
3503.865,metal loss,366.5,4.8,1.2,13.0,1090,,2022
3927.133,metal loss,308.0,6.0,3.1,12.0,1200,,2022
3934.744,metal loss,314.0,4.6,2.2,13.0,1200,,2022
4092.566,metal loss,360.5,0.7,1.0,22.0,1240,,2022
4093.015,metal loss,361.0,0.7,1.2,25.0,1240,,2022
4544.777,metal loss,194.5,5.4,8.7,22.0,1350,,2022
4544.888,metal loss,62.50000000000001,2.2,2.3,25.0,1350,,2022
4544.934,metal loss,242.50000000000003,1.6,1.7,22.0,1350,,2022
4544.97,metal loss,103.5,3.3,4.5,22.0,1350,,2022
4546.637,metal loss,227.5,4.3,2.3,11.0,1360,,2022
4546.729,metal loss,106.5,2.6,1.9,30.0,1360,,2022
4568.373,metal loss,195.0,3.6,2.8,16.0,1360,,2022
4622.789,metal loss,170.0,4.2,5.4,36.0,1370,,2022
4625.108,metal loss,163.0,3.9,5.2,12.0,1370,,2022
4625.144,metal loss,194.0,2.8,2.4,20.0,1370,,2022
4917.359,metal loss,237.0,9.1,2.0,16.0,1450,,2022
4919.993,metal loss,238.5,9.1,2.7,14.0,1450,,2022
4921.519,metal loss,233.0,11.1,3.0,14.0,1450,,2022
4933.458,metal loss,246.99999999999997,13.7,3.1,13.0,1450,,2022
4985.935,metal loss,320.5,6.3,1.4,16.0,1470,,2022
4989.685,metal loss,319.0,6.6,1.7,14.0,1470,,2022
4999.331,metal loss,326.0,6.5,1.3,12.0,1470,,2022
5050.472,metal loss,149.0,1.3,1.8,19.0,1480,,2022
5051.119,metal loss,147.5,2.2,2.4,12.0,1480,,2022
5310.472,metal loss,188.0,2.9,2.3,33.0,1550,,2022
5311.135,metal loss,199.0,3.3,2.2,20.0,1550,,2022
5312.018,metal loss,169.5,4.4,1.4,21.0,1550,,2022
5315.315,metal loss,165.5,1.5,0.9,13.0,1550,,2022
5315.866,metal loss,164.0,1.3,1.2,16.0,1550,,2022
5316.194,metal loss,162.5,2.1,1.1,13.0,1550,,2022
5322.31,metal loss,162.5,8.3,3.0,11.0,1560,,2022
5324.547,metal loss,167.0,3.2,1.5,25.0,1560,,2022
5325.151,metal loss,164.0,1.0,3.1,17.0,1560,,2022
5325.469,metal loss,167.0,6.9,2.8,37.0,1560,,2022
5326.345,metal loss,164.0,2.3,2.3,43.0,1560,,2022
5326.808,metal loss,163.5,14.4,3.9,34.0,1560,,2022
5327.192,metal loss,194.5,2.2,2.0,23.0,1560,,2022
5327.736,metal loss,193.0,5.6,2.0,22.0,1560,,2022
5328.504,metal loss,203.0,6.2,2.3,10.0,1560,,2022
5329.268,metal loss,155.0,6.8,3.5,16.0,1560,,2022
5330.581,metal loss,187.5,22.0,3.9,27.0,1560,,2022
5331.257,metal loss,164.5,2.5,1.8,20.0,1560,,2022
5331.657,metal loss,163.0,3.5,2.2,27.0,1560,,2022
5332.674,metal loss,192.0,2.4,1.9,17.0,1560,,2022
5333.018,metal loss,162.0,0.9,1.1,23.0,1560,,2022
5333.35,metal loss,197.0,13.9,4.4,35.0,1560,,2022
5333.757,metal loss,159.0,2.2,1.0,19.0,1560,,2022
5334.134,metal loss,160.0,11.3,2.7,35.0,1560,,2022
5334.993,metal loss,202.5,1.9,1.6,28.0,1560,,2022
5335.322,metal loss,201.5,2.9,2.1,34.0,1560,,2022
5337.106,metal loss,210.5,2.3,2.0,18.0,1560,,2022
5340.784,metal loss,152.0,2.2,1.6,16.0,1560,,2022
5341.234,metal loss,154.5,2.5,2.0,24.0,1560,,2022
5341.736,metal loss,156.5,3.1,3.0,26.0,1560,,2022
5342.349,metal loss,168.5,4.3,2.4,20.0,1560,,2022
5342.562,metal loss,201.0,1.8,1.9,18.0,1560,,2022
5345.22,dent,157.5,,,,1560,,2022
5359.567,metal loss,162.0,1.1,1.3,25.0,1560,,2022
5359.918,metal loss,167.0,6.8,3.8,15.0,1560,,2022
5360.472,metal loss,133.0,4.2,0.9,11.0,1560,,2022
5360.548,metal loss,31.000000000000004,2.2,2.1,25.0,1560,,2022
5362.575,metal loss,383.5,1.6,1.7,18.0,1570,,2022
5362.598,metal loss,124.50000000000001,1.3,1.0,13.0,1570,,2022
5362.717,metal loss,72.5,1.6,1.2,21.0,1570,,2022
5364.567,metal loss,166.5,25.0,8.4,25.0,1570,,2022
5364.629,metal loss,210.0,2.6,4.0,16.0,1570,,2022
5367.966,metal loss,204.5,1.6,1.6,18.0,1570,,2022
5378.737,metal loss,168.0,1.9,2.2,24.0,1570,,2022
5379.262,metal loss,207.5,2.4,2.1,19.0,1570,,2022
5379.751,metal loss,217.0,20.2,10.0,47.0,1570,,2022
5380.43,metal loss,132.5,29.8,6.4,49.0,1570,,2022
5381.122,metal loss,176.0,24.2,7.4,25.0,1570,,2022
5382.894,metal loss,223.0,0.8,0.3,15.0,1570,,2022
5383.077,metal loss,203.0,12.1,6.7,17.0,1570,,2022
5383.14,metal loss,126.5,4.0,2.8,28.0,1570,,2022
5383.763,metal loss,196.0,30.2,16.8,49.0,1570,,2022
5383.98,metal loss,133.5,2.0,1.6,19.0,1570,,2022
5440.758,metal loss,190.0,1.5,1.3,41.0,1580,,2022
5441.122,metal loss,181.5,1.3,2.6,14.0,1580,,2022
5442.562,metal loss,129.5,2.1,2.5,16.0,1590,,2022
5442.723,metal loss,87.5,2.7,1.7,21.0,1590,,2022
5465.387,metal loss,231.0,5.9,3.8,21.0,1600,,2022
5470.443,metal loss,383.5,7.2,2.5,12.0,1600,,2022
5475.512,metal loss,366.5,5.0,2.2,13.0,1600,,2022
5624.626,metal loss,223.0,1.6,2.0,20.0,1650,,2022
5748.593,metal loss,259.0,7.8,2.4,13.0,1680,,2022
5751.667,metal loss,256.5,3.3,2.0,12.0,1680,,2022
5849.846,metal loss,223.5,7.5,7.8,19.0,1700,,2022
5849.993,metal loss,139.5,2.2,2.0,40.0,1700,,2022
6493.963,metal loss,343.0,2.8,2.2,14.0,1870,,2022
6495.085,metal loss,347.5,2.4,3.4,13.0,1870,,2022
6495.495,metal loss,349.0,5.4,3.4,10.0,1870,,2022
6549.984,metal loss,192.5,5.9,2.3,13.0,1890,,2022
6550.663,metal loss,192.5,8.5,2.9,13.0,1890,,2022
6552.031,metal loss,187.0,2.9,1.5,16.0,1890,,2022
6567.825,metal loss,366.5,6.3,2.0,26.0,1890,,2022
6567.838,metal loss,178.0,5.5,1.9,24.0,1890,,2022
6568.862,metal loss,366.5,2.9,1.4,17.0,1890,,2022
6569.862,metal loss,366.5,4.4,1.5,13.0,1890,,2022
6571.201,metal loss,369.0,4.5,2.6,13.0,1890,,2022
6573.474,metal loss,366.0,5.9,1.5,14.0,1890,,2022
6576.099,metal loss,181.5,4.5,1.4,12.0,1890,,2022
6577.841,metal loss,366.5,4.2,1.3,16.0,1890,,2022
6588.264,metal loss,177.5,5.5,1.5,10.0,1890,,2022
6689.99,metal loss,301.0,5.5,2.8,10.0,1920,,2022
6692.503,metal loss,307.0,5.6,2.8,12.0,1920,,2022
6700.144,metal loss,304.0,2.0,1.5,20.0,1920,,2022
6806.657,metal loss,93.0,1.3,1.7,16.0,1950,,2022
6807.497,metal loss,93.5,5.3,2.3,12.0,1950,,2022
6901.368,metal loss,263.0,22.4,3.8,10.0,1980,,2022
6904.587,metal loss,266.0,2.4,3.1,13.0,1980,,2022
6906.519,metal loss,258.0,5.7,2.4,12.0,1980,,2022
6920.423,metal loss,263.0,7.9,1.7,11.0,1980,,2022
6947.31,metal loss manufacturing anomaly,365.0,0.2,1.1,28.0,1990,,2022
6948.586,metal loss manufacturing anomaly,282.0,0.6,0.9,24.0,1990,,2022
7002.218,metal loss,172.5,1.9,1.6,22.0,2000,,2022
7002.867,metal loss,206.0,3.9,3.4,12.0,2000,,2022
7002.976,metal loss,157.0,3.3,1.8,24.0,2000,,2022
7004.675,metal loss,175.0,1.6,1.5,21.0,2010,,2022
7574.219,metal loss,270.0,16.9,2.1,12.0,2150,,2022
7637.661,metal loss,214.5,1.6,1.4,18.0,2160,,2022
7637.92,metal loss,126.5,3.5,1.1,16.0,2160,,2022
7638.025,metal loss,217.5,2.6,2.0,19.0,2160,,2022
7638.432,metal loss,120.0,12.9,6.0,25.0,2160,,2022
7639.587,metal loss,189.5,11.6,4.8,25.0,2170,,2022
7652.343,metal loss,252.49999999999997,5.9,1.9,30.0,2170,,2022
7653.655,metal loss,254.0,1.8,1.8,23.0,2170,,2022
7658.763,metal loss,211.5,2.0,1.5,21.0,2170,,2022
7659.537,metal loss,218.0,1.3,1.0,25.0,2170,,2022
7660.026,metal loss,211.5,3.0,2.0,26.0,2170,,2022
7661.24,metal loss,224.5,1.9,2.1,28.0,2170,,2022
7661.785,metal loss,222.0,1.4,1.6,24.0,2170,,2022
7662.339,metal loss,228.5,1.7,1.7,24.0,2170,,2022
7662.677,metal loss,287.5,9.1,3.6,33.0,2170,,2022
7662.72,metal loss,242.50000000000003,2.6,1.7,28.0,2170,,2022
7663.11,metal loss,245.99999999999997,5.2,2.6,47.0,2170,,2022
7663.678,metal loss,284.0,6.5,1.7,41.0,2170,,2022
7664.131,metal loss,253.49999999999997,0.7,1.1,50.0,2170,,2022
7664.616,metal loss,274.5,6.3,1.8,28.0,2170,,2022
7664.764,metal loss,253.49999999999997,0.8,1.3,55.0,2170,,2022
7665.007,metal loss,253.49999999999997,1.0,1.3,47.0,2170,,2022
7665.131,metal loss,301.0,10.6,3.5,37.0,2170,,2022
7665.538,metal loss,256.0,1.3,1.3,42.0,2170,,2022
7665.686,metal loss,285.0,2.8,2.5,27.0,2170,,2022
7666.083,metal loss,257.5,1.1,1.9,41.0,2170,,2022
7666.503,metal loss,304.5,2.3,1.9,27.0,2170,,2022
7666.617,metal loss,254.0,0.9,1.5,39.0,2170,,2022
7667.087,metal loss,256.0,1.1,1.4,44.0,2170,,2022
7667.927,metal loss,254.0,1.3,1.7,57.0,2170,,2022
7668.55,metal loss,253.49999999999997,7.1,1.7,37.0,2170,,2022
7669.314,metal loss,253.0,6.0,2.5,36.0,2170,,2022
7669.97,metal loss,228.5,1.7,1.5,24.0,2170,,2022
7675.869,metal loss,199.5,7.3,1.6,31.0,2170,,2022
7677.7,metal loss,202.0,3.9,1.8,20.0,2170,,2022
7808.832,metal loss,177.0,3.5,3.7,12.0,2210,,2022
7808.986,metal loss,118.5,5.5,3.7,19.0,2210,,2022
7809.085,metal loss,206.0,3.2,1.6,16.0,2210,,2022
7853.806,metal loss,121.0,1.3,1.8,15.0,2230,,2022
7854.649,metal loss,120.5,0.7,1.7,25.0,2230,,2022
7873.107,metal loss,117.5,7.9,2.0,18.0,2230,,2022
7875.633,metal loss,113.5,7.3,2.0,10.0,2230,,2022
7876.493,metal loss,116.0,25.6,2.3,16.0,2230,,2022
7881.348,metal loss,115.5,8.5,2.6,13.0,2230,,2022
8240.089,dent,165.0,,,,2320,,2022
8678.304,metal loss,172.0,1.8,2.3,16.0,2430,,2022
8678.363,metal loss,210.5,1.7,2.1,23.0,2430,,2022
8678.369,metal loss,144.5,2.3,1.9,16.0,2430,,2022
8679.98,metal loss,123.49999999999999,2.5,2.0,17.0,2440,,2022
8680.069,metal loss,197.0,4.5,6.7,26.0,2440,,2022
8757.215,metal loss,156.5,4.8,3.7,18.0,2450,,2022
8757.274,metal loss,211.5,4.2,2.6,22.0,2450,,2022
8922.91,metal loss manufacturing anomaly,217.5,0.7,1.4,26.0,2500,,2022
9213.507,metal loss,238.0,5.2,1.7,12.0,2570,,2022
9216.224,metal loss,231.0,5.1,2.0,12.0,2570,,2022
9218.081,metal loss,232.5,7.2,1.7,13.0,2570,,2022
9476.296,metal loss,43.5,9.4,4.5,20.0,2640,,2022
9476.594,metal loss,70.0,5.2,1.1,16.0,2640,,2022
9477.362,metal loss,71.0,1.5,1.3,18.0,2640,,2022
9477.464,metal loss,38.0,6.6,2.4,23.0,2640,,2022
9477.999,metal loss,271.5,3.6,3.3,19.0,2640,,2022
9478.054,metal loss,70.0,4.1,1.1,14.0,2640,,2022
9478.524,metal loss,36.5,4.9,2.1,19.0,2640,,2022
9478.54,metal loss,229.0,6.1,3.1,19.0,2640,,2022
9478.678,metal loss,70.0,4.1,2.2,20.0,2640,,2022
9479.573,metal loss,233.0,5.7,3.0,21.0,2640,,2022
9480.256,metal loss,229.0,4.9,4.1,26.0,2640,,2022
9480.938,metal loss,227.0,1.3,1.4,21.0,2640,,2022
9481.309,metal loss,232.5,2.3,1.4,23.0,2640,,2022
9481.788,metal loss,225.0,1.7,1.3,18.0,2640,,2022
9482.26,metal loss,232.0,4.8,1.8,25.0,2640,,2022
9483.166,metal loss,237.5,4.5,2.2,25.0,2640,,2022
9483.842,metal loss,233.5,2.8,2.0,29.0,2640,,2022
9484.452,metal loss,232.5,1.4,1.6,28.0,2640,,2022
9485.167,metal loss,227.5,2.2,1.9,29.0,2640,,2022
9485.561,metal loss,144.0,1.4,1.6,50.0,2640,,2022
9485.715,metal loss,166.0,2.2,3.1,36.0,2640,,2022
10147.329,metal loss,186.5,3.5,5.0,22.0,2830,,2022
10147.457,metal loss,147.5,3.9,5.0,24.0,2830,,2022
10153.517,metal loss,358.5,4.3,1.7,14.0,2840,,2022
10160.41,metal loss,351.0,14.6,3.0,13.0,2840,,2022
10177.556,metal loss,355.5,0.6,1.3,17.0,2850,,2022
10178.054,metal loss,340.0,0.6,1.0,16.0,2850,,2022
10181.115,metal loss,372.5,6.0,1.3,13.0,2850,,2022
10182.52,metal loss,372.0,3.7,0.9,17.0,2850,,2022
10241.49,metal loss,129.0,1.6,2.0,23.0,2860,,2022
10241.611,metal loss,162.5,3.4,2.1,17.0,2860,,2022
10242.083,metal loss,164.5,2.3,3.4,18.0,2860,,2022
10242.487,metal loss,159.0,5.2,1.7,14.0,2860,,2022
